#Julian Date	Day	Month	Year	Hour	Minute	Second	East	North	Altitude
#[j]	[j]	[mois]	[année]	[h]	[min]	[s]	[m]	[m]	[m]
2459291.956141938	18	3	2021	10	56	50.663	2501026.435	1117429.071	384.446
2459291.956142840	18	3	2021	10	56	50.741	2501026.435	1117429.068	384.427
2459291.956143523	18	3	2021	10	56	50.800	2501026.435	1117429.071	384.428
2459291.956144241	18	3	2021	10	56	50.862	2501026.435	1117429.070	384.443
2459291.956144970	18	3	2021	10	56	50.925	2501026.435	1117429.072	384.425
2459291.956145653	18	3	2021	10	56	50.984	2501026.435	1117429.071	384.431
2459291.956146370	18	3	2021	10	56	51.046	2501026.435	1117429.072	384.427
2459291.956147099	18	3	2021	10	56	51.109	2501026.435	1117429.070	384.434
2459291.956147967	18	3	2021	10	56	51.184	2501026.436	1117429.073	384.432
2459291.956148511	18	3	2021	10	56	51.231	2501026.436	1117429.071	384.427
2459291.956149414	18	3	2021	10	56	51.309	2501026.435	1117429.068	384.434
2459291.956149924	18	3	2021	10	56	51.353	2501026.434	1117429.068	384.425
2459291.956151556	18	3	2021	10	56	51.494	2501026.434	1117429.069	384.434
2459291.956152273	18	3	2021	10	56	51.556	2501026.434	1117429.068	384.433
2459291.956152968	18	3	2021	10	56	51.616	2501026.434	1117429.069	384.446
2459291.956154692	18	3	2021	10	56	51.765	2501026.435	1117429.069	384.430
2459291.956155097	18	3	2021	10	56	51.800	2501026.435	1117429.069	384.438
2459291.956155826	18	3	2021	10	56	51.863	2501026.433	1117429.064	384.437
2459291.956156741	18	3	2021	10	56	51.942	2501026.434	1117429.066	384.432
2459291.956157227	18	3	2021	10	56	51.984	2501026.435	1117429.069	384.436
2459291.956158315	18	3	2021	10	56	52.078	2501026.434	1117429.068	384.425
2459291.956159553	18	3	2021	10	56	52.185	2501026.434	1117429.066	384.435
2459291.956160271	18	3	2021	10	56	52.247	2501026.434	1117429.067	384.430
2459291.956161000	18	3	2021	10	56	52.310	2501026.435	1117429.069	384.426
2459291.956161857	18	3	2021	10	56	52.384	2501026.435	1117429.069	384.433
2459291.956162585	18	3	2021	10	56	52.447	2501026.434	1117429.066	384.430
2459291.956163118	18	3	2021	10	56	52.493	2501026.435	1117429.070	384.430
2459291.956163812	18	3	2021	10	56	52.553	2501026.434	1117429.067	384.431
2459291.956164541	18	3	2021	10	56	52.616	2501026.435	1117429.068	384.428
2459291.956165270	18	3	2021	10	56	52.679	2501026.434	1117429.068	384.431
2459291.956165988	18	3	2021	10	56	52.741	2501026.435	1117429.070	384.431
2459291.956166671	18	3	2021	10	56	52.800	2501026.435	1117429.068	384.433
2459291.956168118	18	3	2021	10	56	52.925	2501026.434	1117429.066	384.430
2459291.956168801	18	3	2021	10	56	52.984	2501026.435	1117429.069	384.432
2459291.956169704	18	3	2021	10	56	53.062	2501026.434	1117429.066	384.429
2459291.956170352	18	3	2021	10	56	53.118	2501026.435	1117429.069	384.426
2459291.956171127	18	3	2021	10	56	53.185	2501026.434	1117429.066	384.431
2459291.956171868	18	3	2021	10	56	53.249	2501026.435	1117429.070	384.427
2459291.956172770	18	3	2021	10	56	53.327	2501026.434	1117429.066	384.432
2459291.956173430	18	3	2021	10	56	53.384	2501026.435	1117429.068	384.427
2459291.956173975	18	3	2021	10	56	53.431	2501026.434	1117429.065	384.430
2459291.956174703	18	3	2021	10	56	53.494	2501026.434	1117429.066	384.431
2459291.956175757	18	3	2021	10	56	53.585	2501026.434	1117429.065	384.431
2459291.956176474	18	3	2021	10	56	53.647	2501026.435	1117429.069	384.432
2459291.956177018	18	3	2021	10	56	53.694	2501026.434	1117429.066	384.433
2459291.956177886	18	3	2021	10	56	53.769	2501026.435	1117429.069	384.430
2459291.956178615	18	3	2021	10	56	53.832	2501026.435	1117429.069	384.430
2459291.956179333	18	3	2021	10	56	53.894	2501026.433	1117429.065	384.430
2459291.956180062	18	3	2021	10	56	53.957	2501026.434	1117429.065	384.431
2459291.956180734	18	3	2021	10	56	54.015	2501026.434	1117429.069	384.432
2459291.956181463	18	3	2021	10	56	54.078	2501026.435	1117429.069	384.431
2459291.956182504	18	3	2021	10	56	54.168	2501026.434	1117429.067	384.431
2459291.956183777	18	3	2021	10	56	54.278	2501026.434	1117429.067	384.432
2459291.956184322	18	3	2021	10	56	54.325	2501026.434	1117429.068	384.431
2459291.956185005	18	3	2021	10	56	54.384	2501026.434	1117429.067	384.428
2459291.956185733	18	3	2021	10	56	54.447	2501026.435	1117429.069	384.432
2459291.956186763	18	3	2021	10	56	54.536	2501026.435	1117429.070	384.430
2459291.956188048	18	3	2021	10	56	54.647	2501026.435	1117429.070	384.430
2459291.956188766	18	3	2021	10	56	54.709	2501026.435	1117429.068	384.432
2459291.956189645	18	3	2021	10	56	54.785	2501026.434	1117429.066	384.428
2459291.956190363	18	3	2021	10	56	54.847	2501026.433	1117429.065	384.432
2459291.956191092	18	3	2021	10	56	54.910	2501026.434	1117429.066	384.431
2459291.956191590	18	3	2021	10	56	54.953	2501026.434	1117429.067	384.430
2459291.956192319	18	3	2021	10	56	55.016	2501026.435	1117429.069	384.429
2459291.956193037	18	3	2021	10	56	55.078	2501026.434	1117429.064	384.431
2459291.956193766	18	3	2021	10	56	55.141	2501026.435	1117429.068	384.426
2459291.956194634	18	3	2021	10	56	55.216	2501026.434	1117429.066	384.429
2459291.956195456	18	3	2021	10	56	55.287	2501026.434	1117429.067	384.429
2459291.956196173	18	3	2021	10	56	55.349	2501026.435	1117429.069	384.431
2459291.956196764	18	3	2021	10	56	55.400	2501026.434	1117429.066	384.431
2459291.956197481	18	3	2021	10	56	55.462	2501026.435	1117429.069	384.431
2459291.956198210	18	3	2021	10	56	55.525	2501026.435	1117429.069	384.426
2459291.956198905	18	3	2021	10	56	55.585	2501026.435	1117429.069	384.433
2459291.956199622	18	3	2021	10	56	55.647	2501026.434	1117429.066	384.430
2459291.956200340	18	3	2021	10	56	55.709	2501026.434	1117429.068	384.433
2459291.956201220	18	3	2021	10	56	55.785	2501026.434	1117429.067	384.431
