#Julian Date	Day	Month	Year	Hour	Minute	Second	East	North	Altitude
#[j]	[j]	[mois]	[année]	[h]	[min]	[s]	[m]	[m]	[m]
2459292.158475066	18	3	2021	15	48	12.246	2501081.619	1117412.195	384.742
2459292.158475888	18	3	2021	15	48	12.317	2501082.312	1117411.986	384.748
2459292.158476849	18	3	2021	15	48	12.400	2501082.682	1117411.882	384.750
2459292.158477936	18	3	2021	15	48	12.494	2501083.384	1117411.676	384.762
2459292.158478979	18	3	2021	15	48	12.584	2501083.741	1117411.570	384.763
2459292.158479522	18	3	2021	15	48	12.631	2501084.457	1117411.362	384.773
2459292.158480749	18	3	2021	15	48	12.737	2501085.149	1117411.156	384.781
2459292.158481837	18	3	2021	15	48	12.831	2501085.881	1117410.949	384.790
2459292.158482740	18	3	2021	15	48	12.909	2501086.237	1117410.848	384.795
2459292.158483249	18	3	2021	15	48	12.953	2501086.613	1117410.738	384.800
2459292.158483966	18	3	2021	15	48	13.015	2501086.965	1117410.639	384.801
2459292.158484511	18	3	2021	15	48	13.062	2501087.321	1117410.534	384.814
2459292.158485147	18	3	2021	15	48	13.117	2501087.663	1117410.434	384.817
2459292.158485679	18	3	2021	15	48	13.163	2501088.028	1117410.328	384.819
2459292.158486293	18	3	2021	15	48	13.216	2501088.356	1117410.234	384.825
2459292.158486837	18	3	2021	15	48	13.263	2501088.712	1117410.129	384.835
2459292.158487555	18	3	2021	15	48	13.325	2501089.379	1117409.936	384.840
2459292.158487879	18	3	2021	15	48	13.353	2501089.747	1117409.828	384.842
2459292.158488781	18	3	2021	15	48	13.431	2501090.446	1117409.626	384.852
2459292.158489696	18	3	2021	15	48	13.510	2501090.785	1117409.524	384.862
2459292.158490368	18	3	2021	15	48	13.568	2501091.151	1117409.423	384.862
2459292.158491097	18	3	2021	15	48	13.631	2501091.824	1117409.229	384.871
2459292.158492185	18	3	2021	15	48	13.725	2501092.183	1117409.129	384.875
2459292.158492683	18	3	2021	15	48	13.768	2501092.534	1117409.033	384.884
2459292.158493412	18	3	2021	15	48	13.831	2501092.858	1117408.939	384.889
2459292.158493956	18	3	2021	15	48	13.878	2501093.557	1117408.740	384.895
2459292.158494500	18	3	2021	15	48	13.925	2501093.557	1117408.740	384.895
2459292.158495043	18	3	2021	15	48	13.972	2501094.238	1117408.537	384.906
2459292.158495541	18	3	2021	15	48	14.015	2501094.606	1117408.442	384.911
2459292.158496085	18	3	2021	15	48	14.062	2501094.951	1117408.343	384.915
2459292.158496629	18	3	2021	15	48	14.109	2501095.279	1117408.249	384.920
2459292.158497324	18	3	2021	15	48	14.169	2501095.609	1117408.153	384.927
2459292.158497856	18	3	2021	15	48	14.215	2501095.973	1117408.047	384.936
2459292.158498400	18	3	2021	15	48	14.262	2501096.293	1117407.950	384.936
2459292.158498944	18	3	2021	15	48	14.309	2501096.996	1117407.752	384.941
2459292.158499639	18	3	2021	15	48	14.369	2501096.996	1117407.752	384.941
2459292.158500368	18	3	2021	15	48	14.432	2501097.652	1117407.558	384.954
2459292.158500819	18	3	2021	15	48	14.471	2501098.027	1117407.451	384.955
2459292.158501548	18	3	2021	15	48	14.534	2501098.699	1117407.249	384.970
2459292.158502127	18	3	2021	15	48	14.584	2501099.029	1117407.152	384.976
2459292.158502671	18	3	2021	15	48	14.631	2501099.375	1117407.054	384.982
2459292.158503215	18	3	2021	15	48	14.678	2501099.691	1117406.959	384.983
2459292.158503759	18	3	2021	15	48	14.725	2501100.033	1117406.858	384.990
2459292.158504441	18	3	2021	15	48	14.784	2501100.673	1117406.674	384.998
2459292.158505530	18	3	2021	15	48	14.878	2501101.003	1117406.581	385.007
2459292.158506247	18	3	2021	15	48	14.940	2501101.692	1117406.382	385.009
2459292.158507115	18	3	2021	15	48	15.015	2501102.390	1117406.187	385.025
2459292.158507844	18	3	2021	15	48	15.078	2501102.728	1117406.089	385.028
2459292.158508388	18	3	2021	15	48	15.125	2501103.064	1117405.995	385.036
2459292.158508921	18	3	2021	15	48	15.171	2501103.388	1117405.904	385.041
2459292.158509430	18	3	2021	15	48	15.215	2501103.741	1117405.800	385.044
2459292.158509974	18	3	2021	15	48	15.262	2501104.078	1117405.707	385.054
2459292.158510703	18	3	2021	15	48	15.325	2501104.395	1117405.616	385.060
2459292.158511212	18	3	2021	15	48	15.369	2501105.393	1117405.326	385.078
2459292.158512115	18	3	2021	15	48	15.447	2501105.717	1117405.233	385.078
2459292.158512833	18	3	2021	15	48	15.509	2501106.380	1117405.037	385.090
2459292.158513886	18	3	2021	15	48	15.600	2501106.709	1117404.944	385.091
2459292.158514430	18	3	2021	15	48	15.647	2501107.373	1117404.750	385.105
2459292.158515518	18	3	2021	15	48	15.741	2501108.049	1117404.560	385.104
2459292.158516467	18	3	2021	15	48	15.823	2501108.708	1117404.378	385.123
2459292.158517196	18	3	2021	15	48	15.886	2501109.385	1117404.175	385.129
2459292.158518157	18	3	2021	15	48	15.969	2501109.717	1117404.078	385.135
2459292.158518700	18	3	2021	15	48	16.016	2501110.063	1117403.984	385.133
2459292.158519245	18	3	2021	15	48	16.063	2501110.388	1117403.891	385.136
2459292.158519789	18	3	2021	15	48	16.110	2501111.056	1117403.698	385.148
2459292.158520645	18	3	2021	15	48	16.184	2501111.382	1117403.607	385.147
2459292.158521189	18	3	2021	15	48	16.231	2501111.721	1117403.509	385.161
2459292.158521733	18	3	2021	15	48	16.278	2501112.395	1117403.314	385.166
2459292.158522786	18	3	2021	15	48	16.369	2501113.056	1117403.111	385.186
2459292.158523504	18	3	2021	15	48	16.431	2501113.394	1117403.018	385.185
2459292.158524048	18	3	2021	15	48	16.478	2501113.726	1117402.921	385.196
2459292.158524731	18	3	2021	15	48	16.537	2501114.770	1117402.619	385.215
2459292.158526178	18	3	2021	15	48	16.662	2501115.365	1117402.445	385.228
